draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball
2783,2016-06-22,Wednesday,1,7,8,24,33,34,10
2784,2016-06-25,Saturday,11,15,17,38,41,42,13
2785,2016-06-29,Wednesday,20,24,29,30,42,46,39
2786,2016-07-02,Saturday,6,8,28,29,31,36,18
2787,2016-07-06,Wednesday,7,10,22,30,31,37,18
2788,2016-07-09,Saturday,6,22,29,39,40,45,37
2789,2016-07-13,Wednesday,2,15,19,30,44,45,42
2790,2016-07-16,Saturday,11,23,27,32,33,36,19
2791,2016-07-20,Wednesday,17,19,26,35,36,38,1
2792,2016-07-23,Saturday,5,8,14,24,27,42,30
2793,2016-07-27,Wednesday,21,27,35,36,38,43,47
2794,2016-07-30,Saturday,22,27,29,30,33,36,17
2795,2016-08-03,Wednesday,8,17,28,36,37,46,25
2796,2016-08-06,Saturday,2,27,29,39,42,44,5
2797,2016-08-10,Wednesday,5,10,24,29,32,40,23
2798,2016-08-13,Saturday,4,15,23,34,35,47,13
2799,2016-08-17,Wednesday,1,12,15,24,33,39,46
2800,2016-08-20,Saturday,1,16,17,19,24,33,47
2801,2016-08-24,Wednesday,2,9,16,22,40,46,3
2802,2016-08-27,Saturday,3,11,18,34,37,40,43
2803,2016-08-31,Wednesday,23,24,26,38,42,43,18
2804,2016-09-03,Saturday,3,9,18,25,28,46,26
2805,2016-09-07,Wednesday,7,8,19,26,33,43,37
2806,2016-09-10,Saturday,1,4,5,16,39,46,21
2807,2016-09-14,Wednesday,11,19,24,27,35,38,12
2808,2016-09-17,Saturday,9,10,25,29,32,36,31
2809,2016-09-21,Wednesday,22,23,25,26,36,41,1
2810,2016-09-24,Saturday,4,13,31,35,40,45,47
2811,2016-09-28,Wednesday,4,8,11,38,39,42,6
2812,2016-10-01,Saturday,16,23,25,29,33,42,24
2813,2016-10-05,Wednesday,9,28,33,34,42,43,26
2814,2016-10-08,Saturday,7,16,17,22,27,36,46
2815,2016-10-12,Wednesday,5,12,17,22,24,28,26
2816,2016-10-15,Saturday,3,10,16,40,43,47,46
2817,2016-10-19,Wednesday,1,9,16,20,32,38,46
2818,2016-10-22,Saturday,10,24,28,31,37,47,39
2819,2016-10-26,Wednesday,9,10,12,17,25,28,3
2820,2016-10-29,Saturday,5,8,10,23,34,46,3
2821,2016-11-02,Wednesday,14,20,22,30,33,43,45
2822,2016-11-05,Saturday,2,25,26,27,31,38,1
2823,2016-11-09,Wednesday,3,14,20,24,31,42,29
2824,2016-11-12,Saturday,3,6,19,40,43,45,28
2825,2016-11-16,Wednesday,1,8,21,23,25,42,24
2826,2016-11-19,Saturday,3,11,30,42,45,46,22
2827,2016-11-23,Wednesday,11,13,22,31,36,40,41
2828,2016-11-26,Saturday,12,22,24,32,38,44,7
2829,2016-11-30,Wednesday,7,26,27,30,35,37,19
2830,2016-12-03,Saturday,2,4,6,20,27,36,19
2831,2016-12-07,Wednesday,2,4,5,7,18,20,39
2832,2016-12-10,Saturday,7,8,12,15,31,44,40
2833,2016-12-14,Wednesday,3,16,21,23,39,40,32
2834,2016-12-17,Saturday,2,7,13,26,29,43,38
2835,2016-12-21,Wednesday,7,11,13,16,27,39,14
2836,2016-12-24,Saturday,8,21,26,29,37,46,40
2837,2016-12-28,Wednesday,7,10,27,28,36,45,19
2838,2016-12-31,Saturday,10,11,20,21,22,28,42
2839,2017-01-04,Wednesday,9,10,12,18,27,33,42
2840,2017-01-07,Saturday,1,8,37,41,43,47,45
2841,2017-01-11,Wednesday,6,12,35,37,41,47,22
2842,2017-01-14,Saturday,16,30,32,37,39,41,35
2843,2017-01-18,Wednesday,1,4,16,20,27,30,7
2844,2017-01-21,Saturday,7,19,33,35,36,39,30
2845,2017-01-25,Wednesday,4,13,16,22,29,37,15
2846,2017-01-28,Saturday,1,5,18,28,33,44,9
2847,2017-02-01,Wednesday,7,12,24,36,43,44,31
2848,2017-02-04,Saturday,13,26,27,37,42,45,29
2849,2017-02-08,Wednesday,20,21,34,38,44,47,36
2850,2017-02-11,Saturday,4,5,14,21,41,43,12
2851,2017-02-15,Wednesday,1,10,21,25,41,44,4
2852,2017-02-18,Saturday,9,14,21,31,40,43,4
2853,2017-02-22,Wednesday,2,11,12,25,27,32,22
2854,2017-02-25,Saturday,9,12,13,21,25,41,37
2855,2017-03-01,Wednesday,5,9,25,29,45,47,41
2856,2017-03-04,Saturday,1,23,28,30,33,45,22
2857,2017-03-08,Wednesday,6,10,16,21,44,46,7
2858,2017-03-11,Saturday,1,12,15,30,38,41,37
2859,2017-03-15,Wednesday,4,12,17,24,36,41,27
2860,2017-03-18,Saturday,9,11,28,29,30,44,47
2861,2017-03-22,Wednesday,23,25,31,43,45,47,44
2862,2017-03-25,Saturday,5,9,23,28,30,35,4
2863,2017-03-29,Wednesday,5,13,14,22,25,28,2
2864,2017-04-01,Saturday,15,20,22,28,29,41,32
2865,2017-04-05,Wednesday,7,19,35,40,44,47,3
2866,2017-04-08,Saturday,12,16,23,28,31,38,26
2867,2017-04-12,Wednesday,9,18,19,20,35,37,21
2868,2017-04-15,Saturday,9,19,20,27,30,38,6
2869,2017-04-19,Wednesday,6,8,20,31,39,47,44
2870,2017-04-22,Saturday,7,11,15,17,25,30,12
2871,2017-04-26,Wednesday,2,4,6,11,13,39,20
2872,2017-04-29,Saturday,7,12,37,42,44,45,1
2873,2017-05-03,Wednesday,3,18,25,27,32,44,4
2874,2017-05-06,Saturday,12,15,25,27,43,45,11
2875,2017-05-10,Wednesday,6,8,29,34,42,43,5
2876,2017-05-13,Saturday,18,21,25,32,42,47,31
2877,2017-05-17,Wednesday,12,13,14,17,22,27,44
2878,2017-05-20,Saturday,10,11,12,22,26,40,8
2879,2017-05-24,Wednesday,19,20,27,37,40,45,5
2880,2017-05-27,Saturday,4,15,24,32,35,36,22
2881,2017-05-31,Wednesday,15,18,19,21,31,38,26
2882,2017-06-03,Saturday,9,26,29,30,38,46,39
2883,2017-06-07,Wednesday,13,19,22,28,42,47,8
2884,2017-06-10,Saturday,10,11,16,17,26,27,32
2885,2017-06-14,Wednesday,3,4,10,11,37,39,8
2886,2017-06-17,Saturday,1,2,20,24,26,30,17
2887,2017-06-21,Wednesday,12,13,15,16,19,42,2
2888,2017-06-24,Saturday,3,19,28,30,31,45,10
2889,2017-06-28,Wednesday,6,11,22,24,27,46,23
2890,2017-07-01,Saturday,2,7,17,37,42,45,16
2891,2017-07-05,Wednesday,3,18,37,39,42,46,29
2892,2017-07-08,Saturday,9,17,27,29,41,46,25
2893,2017-07-12,Wednesday,33,34,41,42,45,46,25
2894,2017-07-15,Saturday,6,14,19,42,44,46,10
2895,2017-07-19,Wednesday,17,20,23,29,39,43,4
2896,2017-07-22,Saturday,1,13,18,37,45,46,30
2897,2017-07-26,Wednesday,11,19,20,22,35,41,23
2898,2017-07-29,Saturday,1,9,23,29,32,43,27
2899,2017-08-02,Wednesday,8,9,14,40,42,44,7
2900,2017-08-05,Saturday,4,5,18,26,31,42,34
2901,2017-08-09,Wednesday,2,8,21,22,32,45,6
2902,2017-08-12,Saturday,12,14,19,25,30,47,29
2903,2017-08-16,Wednesday,2,18,34,38,41,42,36
2904,2017-08-19,Saturday,1,4,25,30,38,43,11
2905,2017-08-23,Wednesday,8,10,23,40,44,45,35
2906,2017-08-26,Saturday,6,16,19,22,25,26,33
2907,2017-08-30,Wednesday,22,25,27,28,31,42,6
2908,2017-09-02,Saturday,13,18,21,26,35,37,34
2909,2017-09-06,Wednesday,15,16,23,27,34,36,38
2910,2017-09-09,Saturday,5,13,19,23,24,33,25
2911,2017-09-13,Wednesday,10,12,17,21,22,32,41
2912,2017-09-16,Saturday,1,9,12,24,41,47,26
2913,2017-09-20,Wednesday,3,9,16,33,35,42,1
2914,2017-09-23,Saturday,5,9,25,30,39,43,38
2915,2017-09-27,Wednesday,4,7,23,36,43,44,6
2916,2017-09-30,Saturday,13,16,17,31,36,47,29
2917,2017-10-04,Wednesday,10,28,32,38,40,43,4
2918,2017-10-07,Saturday,1,12,21,33,39,43,7
2919,2017-10-11,Wednesday,1,28,34,35,44,45,33
2920,2017-10-14,Saturday,1,20,32,34,38,42,24
2921,2017-10-18,Wednesday,6,18,21,28,32,43,34
2922,2017-10-21,Saturday,12,15,20,27,29,38,32
2923,2017-10-25,Wednesday,16,20,24,27,35,41,37
2924,2017-10-28,Saturday,6,15,27,35,36,40,2
2925,2017-11-01,Wednesday,16,23,24,29,33,42,44
2926,2017-11-04,Saturday,16,34,38,42,43,45,32
2927,2017-11-08,Wednesday,13,14,18,20,30,44,35
2928,2017-11-11,Saturday,3,19,25,30,33,41,8
2929,2017-11-15,Wednesday,3,29,30,33,34,44,7
2930,2017-11-18,Saturday,8,16,17,20,21,42,9
2931,2017-11-22,Wednesday,16,17,23,32,35,46,29
2932,2017-11-25,Saturday,1,20,43,44,45,47,5
2933,2017-11-29,Wednesday,3,13,23,29,38,43,44
2934,2017-12-02,Saturday,4,12,14,21,31,43,32
2935,2017-12-06,Wednesday,4,27,28,30,46,47,21
2936,2017-12-09,Saturday,2,12,26,30,35,40,19
2937,2017-12-13,Wednesday,4,9,12,17,19,22,6
2938,2017-12-16,Saturday,1,5,9,11,15,16,29
2939,2017-12-20,Wednesday,1,3,17,26,36,44,16
2940,2017-12-23,Saturday,1,15,24,27,37,40,28
2941,2017-12-27,Wednesday,15,17,22,23,38,43,14
2942,2017-12-30,Saturday,18,28,33,34,38,39,14
2943,2018-01-03,Wednesday,9,19,25,26,27,33,22
2944,2018-01-06,Saturday,8,17,18,37,38,47,1
2945,2018-01-10,Wednesday,1,6,9,29,37,40,30
2946,2018-01-13,Saturday,7,22,31,39,40,41,18
2947,2018-01-17,Wednesday,1,11,24,37,38,45,7
2948,2018-01-20,Saturday,1,15,16,29,33,44,11
2949,2018-01-24,Wednesday,3,16,17,35,38,42,36
2950,2018-01-27,Saturday,13,20,31,32,35,47,26
2951,2018-01-31,Wednesday,10,12,14,17,34,35,20
2952,2018-02-03,Saturday,1,2,19,22,31,47,11
2953,2018-02-07,Wednesday,6,9,30,40,42,46,14
2954,2018-02-10,Saturday,9,20,21,35,37,47,44
2955,2018-02-14,Wednesday,4,21,24,26,37,39,29
2956,2018-02-17,Saturday,3,17,23,28,43,46,31
2957,2018-02-21,Wednesday,1,6,14,37,46,47,18
2958,2018-02-24,Saturday,2,7,13,29,37,39,41
2959,2018-02-28,Wednesday,10,14,15,20,22,45,46
2960,2018-03-03,Saturday,6,11,19,31,36,39,8
2961,2018-03-07,Wednesday,2,4,10,26,37,40,35
2962,2018-03-10,Saturday,10,17,18,27,36,45,12
2963,2018-03-14,Wednesday,4,9,11,20,31,39,7
2964,2018-03-17,Saturday,11,29,37,41,43,45,47
2965,2018-03-21,Wednesday,4,18,22,28,29,36,34
2966,2018-03-24,Saturday,8,9,12,28,30,41,3
2967,2018-03-28,Wednesday,4,15,17,21,41,44,33
2968,2018-03-31,Saturday,1,11,18,21,39,46,27
2969,2018-04-04,Wednesday,2,8,14,24,35,47,37
2970,2018-04-07,Saturday,4,15,20,23,24,30,2
2971,2018-04-11,Wednesday,1,2,17,21,28,30,31
2972,2018-04-14,Saturday,4,10,13,18,25,35,41
2973,2018-04-18,Wednesday,12,17,20,21,26,30,2
2974,2018-04-21,Saturday,1,10,16,21,35,39,33
2975,2018-04-25,Wednesday,2,16,20,22,26,38,14
2976,2018-04-28,Saturday,14,15,26,28,34,43,41
2977,2018-05-02,Wednesday,5,26,27,34,40,45,25
2978,2018-05-05,Saturday,13,23,27,38,39,47,15
2979,2018-05-09,Wednesday,21,24,34,40,43,47,32
2980,2018-05-12,Saturday,12,15,18,31,34,43,14
2981,2018-05-16,Wednesday,4,20,21,27,34,47,26
2982,2018-05-19,Saturday,4,10,17,19,39,47,37
2983,2018-05-23,Wednesday,13,23,35,41,45,47,9
2984,2018-05-26,Saturday,2,9,17,18,22,28,1
2985,2018-05-30,Wednesday,1,8,13,25,26,38,43
2986,2018-06-02,Saturday,4,6,10,18,30,33,35
2987,2018-06-06,Wednesday,11,14,20,29,30,33,44
2988,2018-06-09,Saturday,9,21,23,28,29,30,35
2989,2018-06-13,Wednesday,5,23,28,33,35,39,36
2990,2018-06-16,Saturday,4,6,9,21,36,46,43
2991,2018-06-20,Wednesday,3,9,18,31,42,44,40
2992,2018-06-23,Saturday,15,32,37,39,44,47,21
2993,2018-06-27,Wednesday,11,14,20,24,29,32,40
2994,2018-06-30,Saturday,1,3,4,13,17,43,33
2995,2018-07-04,Wednesday,11,21,29,32,33,46,31
2996,2018-07-07,Saturday,2,12,20,22,26,30,25
2997,2018-07-11,Wednesday,12,26,27,31,37,39,1
2998,2018-07-14,Saturday,1,2,9,18,23,24,20
2999,2018-07-18,Wednesday,15,21,23,29,39,47,9
3000,2018-07-21,Saturday,3,11,19,24,33,45,40
3001,2018-07-25,Wednesday,8,9,22,24,41,42,4
3002,2018-07-28,Saturday,2,7,29,36,37,38,34
3003,2018-08-01,Wednesday,15,26,27,34,39,42,3
3004,2018-08-04,Saturday,2,16,33,40,45,46,22
3005,2018-08-08,Wednesday,21,25,26,27,28,36,4
3006,2018-08-11,Saturday,2,4,14,27,29,33,12
3007,2018-08-15,Wednesday,21,24,29,39,42,44,1
3008,2018-08-18,Saturday,7,26,27,36,41,45,11
3009,2018-08-22,Wednesday,4,5,8,26,33,44,21
3010,2018-08-25,Saturday,6,15,21,26,42,47,33
3011,2018-08-29,Wednesday,13,19,20,26,29,33,14
3012,2018-09-01,Saturday,10,12,13,21,31,41,42
3013,2018-09-05,Wednesday,4,6,15,30,35,37,42
3014,2018-09-08,Saturday,18,22,28,30,42,46,44
3015,2018-09-12,Wednesday,10,16,18,26,28,43,7
3016,2018-09-15,Saturday,3,4,7,8,9,45,24
3017,2018-09-19,Wednesday,2,12,19,33,34,35,30
3018,2018-09-22,Saturday,3,18,20,36,37,47,6
3019,2018-09-26,Wednesday,7,9,10,15,19,25,6
3020,2018-09-29,Saturday,16,19,24,35,36,40,14
3021,2018-10-03,Wednesday,4,9,11,23,42,43,44
3022,2018-10-06,Saturday,15,25,35,36,45,47,40
3023,2018-10-10,Wednesday,5,22,30,38,44,47,33
3024,2018-10-13,Saturday,5,9,15,17,25,45,39
3025,2018-10-17,Wednesday,1,5,26,27,31,40,14
3026,2018-10-20,Saturday,1,11,15,16,18,44,19
3027,2018-10-24,Wednesday,2,18,23,24,36,40,14
3028,2018-10-27,Saturday,11,14,22,28,32,44,19
3029,2018-10-31,Wednesday,14,19,21,28,41,47,40
3030,2018-11-03,Saturday,3,7,22,24,27,41,42
3031,2018-11-07,Wednesday,2,3,16,22,38,44,12
3032,2018-11-10,Saturday,1,2,11,22,33,35,3
3033,2018-11-14,Wednesday,1,3,8,17,29,43,6
3034,2018-11-17,Saturday,2,9,11,12,21,42,16
3035,2018-11-21,Wednesday,3,4,17,26,35,47,39
3036,2018-11-24,Saturday,17,24,26,31,35,45,12
3037,2018-11-28,Wednesday,16,19,20,30,42,43,46
3038,2018-12-01,Saturday,2,7,14,22,40,44,43
3039,2018-12-05,Wednesday,5,6,8,38,41,42,19
3040,2018-12-08,Saturday,8,28,33,37,44,46,42
3041,2018-12-12,Wednesday,2,31,34,36,38,47,26
3042,2018-12-15,Saturday,4,13,24,26,40,42,7
3043,2018-12-19,Wednesday,1,4,39,42,43,45,47
3044,2018-12-22,Saturday,3,11,32,37,38,39,7
3045,2018-12-26,Wednesday,6,8,22,40,41,47,38
3046,2018-12-29,Saturday,3,6,15,41,42,43,31
3047,2019-01-02,Wednesday,1,20,34,38,41,43,29
3048,2019-01-05,Saturday,1,5,8,20,28,33,21
3049,2019-01-09,Wednesday,1,3,10,19,20,33,15
3050,2019-01-12,Saturday,5,25,33,38,40,42,16
3051,2019-01-16,Wednesday,1,21,22,27,40,44,28
3052,2019-01-19,Saturday,17,32,36,44,45,47,42
3053,2019-01-23,Wednesday,11,20,22,23,27,43,1
3054,2019-01-26,Saturday,3,14,20,22,24,46,6
3055,2019-01-30,Wednesday,2,8,19,23,30,33,41
3056,2019-02-02,Saturday,1,11,12,18,41,45,17
3057,2019-02-06,Wednesday,5,8,9,17,43,44,40
3058,2019-02-09,Saturday,4,6,7,8,33,43,22
3059,2019-02-13,Wednesday,3,9,20,25,35,37,40
3060,2019-02-16,Saturday,6,12,25,39,42,43,35
3061,2019-02-20,Wednesday,2,8,21,30,44,45,46
3062,2019-02-23,Saturday,2,8,16,19,46,47,28
3063,2019-02-27,Wednesday,4,6,13,23,34,47,8
3064,2019-03-02,Saturday,3,8,10,27,30,33,5
3065,2019-03-06,Wednesday,1,12,24,39,40,43,38
3066,2019-03-09,Saturday,13,18,24,41,42,44,33
3067,2019-03-13,Wednesday,4,13,32,35,42,44,43
3068,2019-03-16,Saturday,5,7,14,15,27,30,38
3069,2019-03-20,Wednesday,3,7,22,24,26,35,6
3070,2019-03-23,Saturday,23,24,30,31,33,39,5
3071,2019-03-27,Wednesday,8,13,14,24,40,43,4
3072,2019-03-30,Saturday,4,5,6,23,28,46,20
3073,2019-04-03,Wednesday,18,19,21,41,43,47,37
3074,2019-04-06,Saturday,6,17,23,41,42,45,37
3075,2019-04-10,Wednesday,6,7,20,31,37,45,13
3076,2019-04-13,Saturday,4,21,23,27,32,44,29
3077,2019-04-17,Wednesday,3,9,20,21,28,29,32
3078,2019-04-20,Saturday,5,9,13,17,18,47,22
3079,2019-04-24,Wednesday,2,13,24,26,27,34,44
3080,2019-04-27,Saturday,2,6,15,16,26,35,40
3081,2019-05-01,Wednesday,3,12,18,31,35,44,24
3082,2019-05-04,Saturday,1,20,21,38,39,47,3
3083,2019-05-08,Wednesday,7,17,18,24,32,42,40
3084,2019-05-11,Saturday,3,4,20,21,42,47,6
3085,2019-05-15,Wednesday,2,4,7,26,36,46,10
3086,2019-05-18,Saturday,2,9,27,31,42,47,14
3087,2019-05-22,Wednesday,14,24,35,39,42,44,1
3088,2019-05-25,Saturday,4,13,36,43,45,47,11
3089,2019-05-29,Wednesday,6,8,13,27,34,41,25
3090,2019-06-01,Saturday,8,12,14,23,28,39,27
3091,2019-06-05,Wednesday,4,5,28,36,42,43,45
3092,2019-06-08,Saturday,4,13,16,43,45,46,39
3093,2019-06-12,Wednesday,6,14,19,21,38,41,35
3094,2019-06-15,Saturday,8,23,24,27,29,38,34
3095,2019-06-19,Wednesday,1,5,16,29,30,40,38
3096,2019-06-22,Saturday,2,13,23,28,37,41,24
3097,2019-06-26,Wednesday,2,3,12,16,23,47,45
3098,2019-06-29,Saturday,1,6,19,21,33,41,11
3099,2019-07-03,Wednesday,3,5,6,10,36,38,15
3100,2019-07-06,Saturday,6,20,25,29,33,36,4
3101,2019-07-10,Wednesday,3,6,14,33,35,39,44
3102,2019-07-13,Saturday,9,26,29,30,32,47,20
3103,2019-07-17,Wednesday,1,4,9,23,29,45,16
3104,2019-07-20,Saturday,11,19,21,24,39,41,46
3105,2019-07-24,Wednesday,11,17,19,34,38,43,28
3106,2019-07-27,Saturday,2,8,12,29,38,47,46
3107,2019-07-31,Wednesday,4,7,17,31,32,47,44
3108,2019-08-03,Saturday,2,11,21,25,28,39,36
3109,2019-08-07,Wednesday,13,19,25,32,34,47,45
3110,2019-08-10,Saturday,1,9,19,32,33,42,35
3111,2019-08-14,Wednesday,8,9,21,24,29,30,11
3112,2019-08-17,Saturday,5,15,16,17,31,34,38
3113,2019-08-21,Wednesday,7,15,24,27,36,37,19
3114,2019-08-24,Saturday,1,17,25,27,30,39,15
3115,2019-08-28,Wednesday,3,5,25,30,33,46,31
3116,2019-08-31,Saturday,6,12,16,24,28,35,45
3117,2019-09-04,Wednesday,15,18,20,22,24,46,17
3118,2019-09-07,Saturday,13,18,29,30,36,42,19
3119,2019-09-11,Wednesday,2,17,18,33,41,45,1
3120,2019-09-14,Saturday,4,11,14,23,33,46,28
3121,2019-09-18,Wednesday,3,17,18,20,24,37,5
3122,2019-09-21,Saturday,4,14,24,31,37,39,42
3123,2019-09-25,Wednesday,3,11,16,23,37,47,20
3124,2019-09-28,Saturday,8,20,31,32,35,40,11
3125,2019-10-02,Wednesday,2,10,16,21,35,46,22
3126,2019-10-05,Saturday,14,20,21,22,23,43,26
3127,2019-10-09,Wednesday,5,23,27,34,36,47,33
3128,2019-10-12,Saturday,5,23,26,31,43,46,45
3129,2019-10-16,Wednesday,1,2,7,25,26,40,12
3130,2019-10-19,Saturday,16,22,32,34,35,46,38
3131,2019-10-23,Wednesday,5,7,22,31,35,47,39
3132,2019-10-26,Saturday,9,10,23,29,35,44,19
3133,2019-10-30,Wednesday,1,6,18,24,26,37,34
3134,2019-11-02,Saturday,3,25,27,28,34,47,6
3135,2019-11-06,Wednesday,12,16,19,22,29,33,21
3136,2019-11-09,Saturday,10,11,19,20,36,41,40
3137,2019-11-13,Wednesday,3,6,9,24,26,44,33
3138,2019-11-16,Saturday,1,3,8,21,31,43,35
3139,2019-11-20,Wednesday,2,3,16,31,34,36,42
3140,2019-11-23,Saturday,13,22,23,37,43,45,27
3141,2019-11-27,Wednesday,9,20,22,25,33,35,1
3142,2019-11-30,Saturday,11,16,25,32,36,37,2
3143,2019-12-04,Wednesday,1,26,28,35,39,42,18
3144,2019-12-07,Saturday,2,10,11,13,16,33,29
3145,2019-12-11,Wednesday,6,13,16,17,28,46,47
3146,2019-12-14,Saturday,8,10,11,13,32,47,5
3147,2019-12-18,Wednesday,5,11,12,18,20,32,40
3148,2019-12-21,Saturday,3,29,34,38,41,46,15
3149,2019-12-25,Wednesday,1,20,34,37,38,42,40
3150,2019-12-28,Saturday,5,19,25,27,32,38,22
3151,2020-01-01,Wednesday,2,12,14,33,38,41,6
3152,2020-01-04,Saturday,5,8,11,12,19,23,25
3153,2020-01-08,Wednesday,4,9,15,27,30,32,43
3154,2020-01-11,Saturday,1,7,16,24,35,46,25
3155,2020-01-15,Wednesday,7,9,25,28,30,35,41
3156,2020-01-18,Saturday,16,31,36,41,44,47,2
3157,2020-01-22,Wednesday,6,13,15,16,18,30,42
3158,2020-01-25,Saturday,1,8,10,14,19,38,2
3159,2020-01-29,Wednesday,10,16,19,26,28,43,31
3160,2020-02-01,Saturday,1,6,8,19,20,26,12
3161,2020-02-05,Wednesday,5,6,14,18,26,43,21
3162,2020-02-08,Saturday,17,36,38,39,44,46,37
3163,2020-02-12,Wednesday,8,9,10,20,36,38,13
3164,2020-02-15,Saturday,3,5,9,13,15,16,2
3165,2020-02-19,Wednesday,17,24,29,32,41,42,11
3166,2020-02-22,Saturday,4,7,23,24,31,47,20
3167,2020-02-26,Wednesday,2,11,16,27,30,33,8
3168,2020-02-29,Saturday,2,9,22,25,35,43,27
3169,2020-03-04,Wednesday,13,19,21,30,37,44,9
3170,2020-03-07,Saturday,4,19,32,34,37,45,31
