draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball,star_1,star_2
1014,2017-06-06 00:00:00,Tuesday,4,16,17,21,28,2,10,2,10
1015,2017-06-09 00:00:00,Friday,1,6,12,36,41,10,11,10,11
1016,2017-06-13 00:00:00,Tuesday,13,21,24,25,32,3,10,3,10
1017,2017-06-16 00:00:00,Friday,14,15,28,33,50,5,8,5,8
1018,2017-06-20 00:00:00,Tuesday,13,15,27,29,49,5,9,5,9
1019,2017-06-23 00:00:00,Friday,3,14,22,30,46,4,12,4,12
1020,2017-06-27 00:00:00,Tuesday,3,7,12,36,46,1,4,1,4
1021,2017-06-30 00:00:00,Friday,1,5,6,18,28,1,3,1,3
1022,2017-07-04 00:00:00,Tuesday,2,5,6,8,16,5,12,5,12
1023,2017-07-07 00:00:00,Friday,12,24,25,29,50,1,10,1,10
1024,2017-07-11 00:00:00,Tuesday,12,13,28,31,33,6,8,6,8
1025,2017-07-14 00:00:00,Friday,5,12,20,23,45,5,11,5,11
1026,2017-07-18 00:00:00,Tuesday,3,14,39,41,43,1,4,1,4
1027,2017-07-21 00:00:00,Friday,21,33,36,42,48,4,10,4,10
1028,2017-07-25 00:00:00,Tuesday,8,18,27,30,36,4,12,4,12
1029,2017-07-28 00:00:00,Friday,3,8,11,31,49,3,4,3,4
1030,2017-08-01 00:00:00,Tuesday,5,9,11,28,41,5,10,5,10
1031,2017-08-04 00:00:00,Friday,6,14,16,34,50,1,9,1,9
1032,2017-08-08 00:00:00,Tuesday,29,30,39,40,44,5,10,5,10
1033,2017-08-11 00:00:00,Friday,17,29,34,37,48,3,9,3,9
1034,2017-08-15 00:00:00,Tuesday,23,30,35,48,50,4,8,4,8
1035,2017-08-18 00:00:00,Friday,5,7,9,33,39,2,11,2,11
1036,2017-08-22 00:00:00,Tuesday,9,11,16,34,39,9,10,9,10
1037,2017-08-25 00:00:00,Friday,2,19,27,43,49,5,7,5,7
1038,2017-08-29 00:00:00,Tuesday,4,12,24,39,43,2,10,2,10
1039,2017-09-01 00:00:00,Friday,13,17,33,48,49,3,6,3,6
1040,2017-09-05 00:00:00,Tuesday,10,23,31,41,50,8,10,8,10
1041,2017-09-08 00:00:00,Friday,11,16,22,24,44,4,11,4,11
1042,2017-09-12 00:00:00,Tuesday,15,18,33,38,40,2,8,2,8
1043,2017-09-15 00:00:00,Friday,9,18,31,37,45,5,11,5,11
1044,2017-09-19 00:00:00,Tuesday,12,14,20,30,40,1,9,1,9
1045,2017-09-22 00:00:00,Friday,1,2,18,24,30,3,7,3,7
1046,2017-09-26 00:00:00,Tuesday,6,18,35,36,40,3,7,3,7
1047,2017-09-29 00:00:00,Friday,12,33,37,39,49,6,9,6,9
1048,2017-10-03 00:00:00,Tuesday,2,7,10,13,33,2,8,2,8
1049,2017-10-06 00:00:00,Friday,20,28,33,39,43,7,10,7,10
1050,2017-10-10 00:00:00,Tuesday,1,32,34,40,48,2,8,2,8
1051,2017-10-13 00:00:00,Friday,16,23,24,38,39,2,6,2,6
1052,2017-10-17 00:00:00,Tuesday,2,8,42,44,45,3,4,3,4
1053,2017-10-20 00:00:00,Friday,14,15,19,37,46,8,10,8,10
1054,2017-10-24 00:00:00,Tuesday,3,14,20,25,43,5,8,5,8
1055,2017-10-27 00:00:00,Friday,4,12,14,38,47,2,12,2,12
1056,2017-10-31 00:00:00,Tuesday,12,25,28,35,45,3,10,3,10
1057,2017-11-03 00:00:00,Friday,7,14,20,28,37,2,12,2,12
1058,2017-11-07 00:00:00,Tuesday,10,15,22,32,33,2,12,2,12
1059,2017-11-10 00:00:00,Friday,16,19,26,31,33,4,9,4,9
1060,2017-11-14 00:00:00,Tuesday,22,28,38,39,47,3,6,3,6
1061,2017-11-17 00:00:00,Friday,9,10,15,29,48,7,8,7,8
1062,2017-11-21 00:00:00,Tuesday,17,24,25,31,45,2,6,2,6
1063,2017-11-24 00:00:00,Friday,3,14,32,33,40,9,11,9,11
1064,2017-11-28 00:00:00,Tuesday,2,28,29,35,44,1,9,1,9
1065,2017-12-01 00:00:00,Friday,6,14,29,38,44,7,11,7,11
1066,2017-12-05 00:00:00,Tuesday,2,5,13,15,31,4,9,4,9
1067,2017-12-08 00:00:00,Friday,9,11,15,25,42,6,7,6,7
1068,2017-12-12 00:00:00,Tuesday,23,42,43,45,48,2,10,2,10
1069,2017-12-15 00:00:00,Friday,3,31,37,41,50,4,7,4,7
1070,2017-12-19 00:00:00,Tuesday,1,9,26,36,48,6,9,6,9
1071,2017-12-22 00:00:00,Friday,8,13,18,21,24,4,8,4,8
1072,2017-12-26 00:00:00,Tuesday,19,24,26,30,40,3,11,3,11
1073,2017-12-29 00:00:00,Friday,2,3,5,33,38,6,9,6,9
1074,2018-01-02 00:00:00,Tuesday,3,19,30,33,48,1,8,1,8
1075,2018-01-05 00:00:00,Friday,11,12,19,25,41,1,6,1,6
1076,2018-01-09 00:00:00,Tuesday,13,18,31,37,43,10,12,10,12
1077,2018-01-12 00:00:00,Friday,3,13,26,38,47,2,10,2,10
1078,2018-01-16 00:00:00,Tuesday,10,11,14,32,34,8,12,8,12
1079,2018-01-19 00:00:00,Friday,8,22,29,31,33,10,12,10,12
1080,2018-01-23 00:00:00,Tuesday,4,10,40,48,49,3,9,3,9
1081,2018-01-26 00:00:00,Friday,9,15,17,26,47,3,11,3,11
1082,2018-01-30 00:00:00,Tuesday,2,17,18,23,31,4,7,4,7
1083,2018-02-02 00:00:00,Friday,7,20,29,34,37,8,11,8,11
1084,2018-02-06 00:00:00,Tuesday,4,15,24,44,47,3,11,3,11
1085,2018-02-09 00:00:00,Friday,1,9,21,28,45,1,9,1,9
1086,2018-02-13 00:00:00,Tuesday,22,25,28,34,50,6,12,6,12
1087,2018-02-16 00:00:00,Friday,5,15,23,47,50,3,10,3,10
1088,2018-02-20 00:00:00,Tuesday,3,7,10,40,49,6,9,6,9
1089,2018-02-23 00:00:00,Friday,3,19,21,26,45,3,5,3,5
1090,2018-02-27 00:00:00,Tuesday,4,5,16,43,47,2,5,2,5
1091,2018-03-02 00:00:00,Friday,6,28,34,35,40,2,5,2,5
1092,2018-03-06 00:00:00,Tuesday,7,10,15,30,33,3,12,3,12
1093,2018-03-09 00:00:00,Friday,7,21,24,33,44,5,7,5,7
1094,2018-03-13 00:00:00,Tuesday,5,14,32,38,49,3,12,3,12
1095,2018-03-16 00:00:00,Friday,23,35,38,42,46,5,8,5,8
1096,2018-03-20 00:00:00,Tuesday,1,8,11,39,41,1,10,1,10
1097,2018-03-23 00:00:00,Friday,5,15,23,29,33,4,9,4,9
1098,2018-03-27 00:00:00,Tuesday,25,38,41,46,48,3,8,3,8
1099,2018-03-30 00:00:00,Friday,13,20,22,32,39,2,8,2,8
1100,2018-04-03 00:00:00,Tuesday,1,4,22,26,38,4,5,4,5
1101,2018-04-06 00:00:00,Friday,6,9,20,38,47,1,2,1,2
1102,2018-04-10 00:00:00,Tuesday,12,13,21,22,37,4,7,4,7
1103,2018-04-13 00:00:00,Friday,3,4,12,14,38,1,12,1,12
1104,2018-04-17 00:00:00,Tuesday,2,17,21,28,29,6,12,6,12
1105,2018-04-20 00:00:00,Friday,13,15,27,35,50,4,10,4,10
1106,2018-04-24 00:00:00,Tuesday,7,15,18,22,43,1,12,1,12
1107,2018-04-27 00:00:00,Friday,5,6,39,44,48,1,10,1,10
1108,2018-05-01 00:00:00,Tuesday,12,15,26,35,43,2,10,2,10
1109,2018-05-04 00:00:00,Friday,16,23,29,39,46,7,10,7,10
1110,2018-05-08 00:00:00,Tuesday,9,13,17,26,29,5,7,5,7
1111,2018-05-11 00:00:00,Friday,17,23,30,32,50,10,12,10,12
1112,2018-05-15 00:00:00,Tuesday,15,32,34,45,47,9,11,9,11
1113,2018-05-18 00:00:00,Friday,9,14,24,38,47,7,9,7,9
1114,2018-05-22 00:00:00,Tuesday,17,19,29,34,43,5,12,5,12
1115,2018-05-25 00:00:00,Friday,12,13,17,19,23,2,5,2,5
1116,2018-05-29 00:00:00,Tuesday,4,19,28,38,44,4,8,4,8
1117,2018-06-01 00:00:00,Friday,7,8,12,26,30,8,10,8,10
1118,2018-06-05 00:00:00,Tuesday,2,4,15,32,36,9,10,9,10
1119,2018-06-08 00:00:00,Friday,3,7,14,39,44,1,6,1,6
1120,2018-06-12 00:00:00,Tuesday,15,20,32,34,38,4,11,4,11
1121,2018-06-15 00:00:00,Friday,17,22,26,38,45,2,12,2,12
1122,2018-06-19 00:00:00,Tuesday,8,12,14,30,36,4,11,4,11
1123,2018-06-22 00:00:00,Friday,1,10,35,36,41,4,9,4,9
1124,2018-06-26 00:00:00,Tuesday,10,12,19,23,46,1,6,1,6
1125,2018-06-29 00:00:00,Friday,5,8,13,17,22,6,9,6,9
1126,2018-07-03 00:00:00,Tuesday,13,19,21,26,41,5,7,5,7
1127,2018-07-06 00:00:00,Friday,6,18,26,35,37,2,11,2,11
1128,2018-07-10 00:00:00,Tuesday,1,22,32,36,40,2,6,2,6
1129,2018-07-13 00:00:00,Friday,9,12,23,28,30,2,7,2,7
1130,2018-07-17 00:00:00,Tuesday,12,21,25,29,31,7,10,7,10
1131,2018-07-20 00:00:00,Friday,8,13,17,31,38,2,10,2,10
1132,2018-07-24 00:00:00,Tuesday,10,11,19,32,43,8,9,8,9
1133,2018-07-27 00:00:00,Friday,1,8,20,25,39,1,12,1,12
1134,2018-07-31 00:00:00,Tuesday,1,4,5,28,38,5,7,5,7
1135,2018-08-03 00:00:00,Friday,8,21,25,39,43,9,11,9,11
1136,2018-08-07 00:00:00,Tuesday,8,10,14,28,29,3,11,3,11
1137,2018-08-10 00:00:00,Friday,1,3,4,17,31,1,2,1,2
1138,2018-08-14 00:00:00,Tuesday,3,5,12,26,37,4,6,4,6
1139,2018-08-17 00:00:00,Friday,15,23,42,43,45,5,9,5,9
1140,2018-08-21 00:00:00,Tuesday,8,17,34,38,46,1,12,1,12
1141,2018-08-24 00:00:00,Friday,9,22,23,41,43,1,10,1,10
1142,2018-08-28 00:00:00,Tuesday,29,31,35,38,44,3,8,3,8
1143,2018-08-31 00:00:00,Friday,4,7,8,18,26,2,3,2,3
1144,2018-09-04 00:00:00,Tuesday,13,26,30,48,50,6,12,6,12
1145,2018-09-07 00:00:00,Friday,2,11,16,20,37,7,12,7,12
1146,2018-09-11 00:00:00,Tuesday,4,8,36,39,45,9,10,9,10
1147,2018-09-14 00:00:00,Friday,1,21,38,39,41,1,3,1,3
1148,2018-09-18 00:00:00,Tuesday,12,19,20,24,49,2,6,2,6
1149,2018-09-21 00:00:00,Friday,7,9,25,43,45,5,12,5,12
1150,2018-09-25 00:00:00,Tuesday,13,18,32,36,44,9,12,9,12
1151,2018-09-28 00:00:00,Friday,1,9,10,27,36,5,6,5,6
1152,2018-10-02 00:00:00,Tuesday,2,12,26,36,44,7,9,7,9
1153,2018-10-05 00:00:00,Friday,8,9,13,25,26,5,7,5,7
1154,2018-10-09 00:00:00,Tuesday,7,27,34,37,44,4,6,4,6
1155,2018-10-12 00:00:00,Friday,1,7,15,19,26,11,12,11,12
1156,2018-10-16 00:00:00,Tuesday,16,26,31,39,40,7,9,7,9
1157,2018-10-19 00:00:00,Friday,2,14,20,33,34,1,12,1,12
1158,2018-10-23 00:00:00,Tuesday,3,8,12,33,42,1,6,1,6
1159,2018-10-26 00:00:00,Friday,14,17,21,47,50,4,7,4,7
1160,2018-10-30 00:00:00,Tuesday,4,14,30,42,50,3,12,3,12
1161,2018-11-02 00:00:00,Friday,7,13,28,32,46,4,6,4,6
1162,2018-11-06 00:00:00,Tuesday,24,27,28,33,42,3,4,3,4
1163,2018-11-09 00:00:00,Friday,2,9,19,32,45,5,11,5,11
1164,2018-11-13 00:00:00,Tuesday,7,16,17,38,43,1,11,1,11
1165,2018-11-16 00:00:00,Friday,16,26,36,47,48,2,8,2,8
1166,2018-11-20 00:00:00,Tuesday,8,10,13,30,34,4,9,4,9
1167,2018-11-23 00:00:00,Friday,5,14,25,29,37,6,12,6,12
1168,2018-11-27 00:00:00,Tuesday,6,8,11,22,30,1,6,1,6
1169,2018-11-30 00:00:00,Friday,15,22,29,47,48,7,11,7,11
1170,2018-12-04 00:00:00,Tuesday,8,16,25,27,29,5,9,5,9
1171,2018-12-07 00:00:00,Friday,5,9,39,43,47,3,6,3,6
1172,2018-12-11 00:00:00,Tuesday,21,40,42,45,49,1,6,1,6
1173,2018-12-14 00:00:00,Friday,5,10,16,22,34,1,4,1,4
1174,2018-12-18 00:00:00,Tuesday,3,18,31,39,43,3,7,3,7
1175,2018-12-21 00:00:00,Friday,13,28,31,37,42,5,11,5,11
1176,2018-12-25 00:00:00,Tuesday,5,19,42,43,49,1,2,1,2
1177,2018-12-28 00:00:00,Friday,14,29,37,47,50,10,12,10,12
1178,2019-01-01 00:00:00,Tuesday,2,21,25,42,47,1,7,1,7
1179,2019-01-04 00:00:00,Friday,3,20,24,46,49,7,8,7,8
1180,2019-01-08 00:00:00,Tuesday,1,14,17,22,27,3,5,3,5
1181,2019-01-11 00:00:00,Friday,9,13,24,26,40,7,11,7,11
1182,2019-01-15 00:00:00,Tuesday,5,21,28,31,44,3,8,3,8
1183,2019-01-18 00:00:00,Friday,12,23,24,31,35,1,12,1,12
1184,2019-01-22 00:00:00,Tuesday,3,10,37,43,48,4,6,4,6
1185,2019-01-25 00:00:00,Friday,5,8,20,23,26,2,5,2,5
1186,2019-01-29 00:00:00,Tuesday,3,10,17,18,40,5,8,5,8
1187,2019-02-01 00:00:00,Friday,8,29,38,40,50,4,5,4,5
1188,2019-02-05 00:00:00,Tuesday,1,9,26,35,45,11,12,11,12
1189,2019-02-08 00:00:00,Friday,4,8,11,23,32,1,4,1,4
