draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball
2216,2017-03-18 00:00:00,Saturday,16,31,36,42,45,49,46
2217,2017-03-22 00:00:00,Wednesday,2,6,19,29,32,51,15
2218,2017-03-25 00:00:00,Saturday,16,20,26,38,43,45,24
2219,2017-03-29 00:00:00,Wednesday,23,28,31,34,36,48,58
2220,2017-04-01 00:00:00,Saturday,18,20,22,23,30,45,17
2221,2017-04-05 00:00:00,Wednesday,8,13,15,21,47,58,48
2222,2017-04-08 00:00:00,Saturday,12,13,14,35,45,49,48
2223,2017-04-12 00:00:00,Wednesday,18,31,34,38,47,49,39
2224,2017-04-15 00:00:00,Saturday,7,13,15,19,54,59,24
2225,2017-04-19 00:00:00,Wednesday,1,9,12,20,35,46,18
2226,2017-04-22 00:00:00,Saturday,3,4,9,19,36,45,41
2227,2017-04-26 00:00:00,Wednesday,1,7,32,37,49,56,19
2228,2017-04-29 00:00:00,Saturday,4,12,22,29,31,59,17
2229,2017-05-03 00:00:00,Wednesday,5,8,26,31,53,56,32
2230,2017-05-06 00:00:00,Saturday,4,5,10,37,41,44,54
2231,2017-05-10 00:00:00,Wednesday,6,8,16,20,37,52,36
2232,2017-05-13 00:00:00,Saturday,27,39,40,49,51,57,15
2233,2017-05-17 00:00:00,Wednesday,20,25,29,34,50,56,38
2234,2017-05-20 00:00:00,Saturday,4,20,28,37,40,56,48
2235,2017-05-24 00:00:00,Wednesday,7,14,17,41,49,57,43
2236,2017-05-27 00:00:00,Saturday,5,6,11,12,16,36,58
2237,2017-05-31 00:00:00,Wednesday,1,27,29,31,39,45,19
2238,2017-06-03 00:00:00,Saturday,3,15,19,45,46,57,30
2239,2017-06-07 00:00:00,Wednesday,5,15,17,44,51,55,41
2240,2017-06-10 00:00:00,Saturday,8,13,28,38,43,52,35
2241,2017-06-14 00:00:00,Wednesday,10,15,18,42,53,57,5
2242,2017-06-17 00:00:00,Saturday,4,11,20,39,48,51,53
2243,2017-06-21 00:00:00,Wednesday,8,19,29,30,37,45,20
2244,2017-06-24 00:00:00,Saturday,18,26,32,33,35,45,29
2245,2017-06-28 00:00:00,Wednesday,3,6,21,28,39,48,58
2246,2017-07-01 00:00:00,Saturday,2,6,15,17,44,54,37
2247,2017-07-05 00:00:00,Wednesday,2,18,38,44,49,53,37
2248,2017-07-08 00:00:00,Saturday,3,12,31,34,49,58,42
2249,2017-07-12 00:00:00,Wednesday,12,18,28,29,38,41,53
2250,2017-07-15 00:00:00,Saturday,6,22,23,27,31,32,21
2251,2017-07-19 00:00:00,Wednesday,7,11,22,27,43,55,45
2252,2017-07-22 00:00:00,Saturday,19,26,32,43,49,53,36
2253,2017-07-26 00:00:00,Wednesday,3,6,17,21,30,56,8
2254,2017-07-29 00:00:00,Saturday,1,26,33,50,53,56,43
2255,2017-08-02 00:00:00,Wednesday,4,13,27,30,35,56,34
2256,2017-08-05 00:00:00,Saturday,24,29,32,40,41,49,57
2257,2017-08-09 00:00:00,Wednesday,4,9,14,18,19,36,29
2258,2017-08-12 00:00:00,Saturday,2,8,32,41,45,57,39
2259,2017-08-16 00:00:00,Wednesday,11,16,20,36,46,52,1
2260,2017-08-19 00:00:00,Saturday,6,8,15,27,36,54,30
2261,2017-08-23 00:00:00,Wednesday,8,10,32,42,46,54,19
2262,2017-08-26 00:00:00,Saturday,18,27,31,33,46,54,55
2263,2017-08-30 00:00:00,Wednesday,10,13,16,25,30,36,39
2264,2017-09-02 00:00:00,Saturday,5,9,18,33,48,57,50
2265,2017-09-06 00:00:00,Wednesday,22,27,33,51,55,59,18
2266,2017-09-09 00:00:00,Saturday,1,19,20,47,53,54,38
2267,2017-09-13 00:00:00,Wednesday,10,29,32,38,43,56,35
2268,2017-09-16 00:00:00,Saturday,22,23,31,35,36,49,25
2269,2017-09-20 00:00:00,Wednesday,13,16,21,30,45,56,37
2270,2017-09-23 00:00:00,Saturday,3,15,25,27,50,55,21
2271,2017-09-27 00:00:00,Wednesday,25,31,46,48,52,55,43
2272,2017-09-30 00:00:00,Saturday,3,10,32,42,51,53,9
2273,2017-10-04 00:00:00,Wednesday,7,22,29,33,38,56,55
2274,2017-10-07 00:00:00,Saturday,1,10,27,30,34,47,42
2275,2017-10-11 00:00:00,Wednesday,5,10,17,22,31,51,40
2276,2017-10-14 00:00:00,Saturday,6,22,26,42,45,55,44
2277,2017-10-18 00:00:00,Wednesday,21,25,35,41,46,55,49
2278,2017-10-21 00:00:00,Saturday,3,5,32,35,40,56,16
2279,2017-10-25 00:00:00,Wednesday,6,15,19,41,44,48,28
2280,2017-10-28 00:00:00,Saturday,7,29,41,46,49,59,11
2281,2017-11-01 00:00:00,Wednesday,2,3,20,21,45,51,4
2282,2017-11-04 00:00:00,Saturday,10,16,19,23,24,28,34
2283,2017-11-08 00:00:00,Wednesday,11,12,27,37,44,51,55
2284,2017-11-11 00:00:00,Saturday,6,25,40,44,56,58,16
2285,2017-11-15 00:00:00,Wednesday,10,15,30,32,38,41,17
2286,2017-11-18 00:00:00,Saturday,1,17,30,43,52,59,19
2287,2017-11-22 00:00:00,Wednesday,5,11,23,29,35,44,38
2288,2017-11-25 00:00:00,Saturday,17,20,28,30,41,45,59
2289,2017-11-29 00:00:00,Wednesday,7,13,16,25,31,55,58
2290,2017-12-02 00:00:00,Saturday,19,23,37,45,56,59,2
2291,2017-12-06 00:00:00,Wednesday,1,18,26,37,43,54,44
2292,2017-12-09 00:00:00,Saturday,4,32,39,48,50,58,19
2293,2017-12-13 00:00:00,Wednesday,15,23,39,50,52,58,57
2294,2017-12-16 00:00:00,Saturday,13,17,40,41,44,49,47
2295,2017-12-20 00:00:00,Wednesday,9,41,43,44,50,54,7
2296,2017-12-23 00:00:00,Saturday,3,20,41,42,51,58,29
2297,2017-12-27 00:00:00,Wednesday,3,6,9,24,38,47,19
2298,2017-12-30 00:00:00,Saturday,9,12,13,21,27,48,51
2299,2018-01-03 00:00:00,Wednesday,18,24,33,34,35,57,11
2300,2018-01-06 00:00:00,Saturday,17,19,31,48,52,53,22
2301,2018-01-10 00:00:00,Wednesday,5,8,10,30,49,52,15
2302,2018-01-13 00:00:00,Saturday,26,44,47,52,56,58,36
2303,2018-01-17 00:00:00,Wednesday,1,6,17,24,26,51,35
2304,2018-01-20 00:00:00,Saturday,8,24,30,44,48,56,17
2305,2018-01-24 00:00:00,Wednesday,7,24,25,38,41,53,44
2306,2018-01-27 00:00:00,Saturday,2,15,21,31,36,40,56
2307,2018-01-31 00:00:00,Wednesday,5,15,30,41,42,53,45
2308,2018-02-03 00:00:00,Saturday,3,8,9,20,27,42,54
2309,2018-02-07 00:00:00,Wednesday,7,8,16,20,32,35,9
2310,2018-02-10 00:00:00,Saturday,24,25,30,43,45,48,35
2311,2018-02-14 00:00:00,Wednesday,10,27,38,47,48,59,42
2312,2018-02-17 00:00:00,Saturday,7,18,27,32,40,54,3
2313,2018-02-21 00:00:00,Wednesday,14,16,24,29,45,56,58
2314,2018-02-24 00:00:00,Saturday,7,23,24,35,42,44,4
2315,2018-02-28 00:00:00,Wednesday,8,13,18,26,53,55,30
2316,2018-03-03 00:00:00,Saturday,6,14,39,41,42,43,2
2317,2018-03-07 00:00:00,Wednesday,4,9,16,22,51,58,37
2318,2018-03-10 00:00:00,Saturday,5,14,36,49,54,59,38
2319,2018-03-14 00:00:00,Wednesday,14,15,22,50,53,56,10
2320,2018-03-17 00:00:00,Saturday,1,10,18,39,51,58,9
2321,2018-03-21 00:00:00,Wednesday,8,12,17,35,43,52,2
2322,2018-03-24 00:00:00,Saturday,1,9,16,23,51,56,38
2323,2018-03-28 00:00:00,Wednesday,2,4,9,12,17,21,48
2324,2018-03-31 00:00:00,Saturday,5,8,27,31,34,48,29
2325,2018-04-04 00:00:00,Wednesday,7,24,29,33,38,50,57
2326,2018-04-07 00:00:00,Saturday,3,15,40,43,47,51,34
2327,2018-04-11 00:00:00,Wednesday,2,4,20,30,31,42,26
2328,2018-04-14 00:00:00,Saturday,7,28,29,32,44,46,5
2329,2018-04-18 00:00:00,Wednesday,5,6,10,21,39,58,9
2330,2018-04-21 00:00:00,Saturday,18,36,38,40,41,46,21
2331,2018-04-25 00:00:00,Wednesday,19,25,30,33,34,39,58
2332,2018-04-28 00:00:00,Saturday,7,8,28,42,45,51,54
2333,2018-05-02 00:00:00,Wednesday,14,28,36,47,50,57,29
2334,2018-05-05 00:00:00,Saturday,15,22,27,30,53,57,26
2335,2018-05-09 00:00:00,Wednesday,7,21,27,28,47,56,43
2336,2018-05-12 00:00:00,Saturday,5,10,17,24,31,44,6
2337,2018-05-16 00:00:00,Wednesday,6,7,28,48,54,58,59
2338,2018-05-19 00:00:00,Saturday,4,9,24,36,38,52,56
2339,2018-05-23 00:00:00,Wednesday,8,22,23,27,36,43,57
2340,2018-05-26 00:00:00,Saturday,4,19,28,47,49,56,39
2341,2018-05-30 00:00:00,Wednesday,7,14,20,23,33,37,10
2342,2018-06-02 00:00:00,Saturday,7,15,23,31,43,55,36
2343,2018-06-06 00:00:00,Wednesday,8,15,18,24,37,49,52
2344,2018-06-09 00:00:00,Saturday,28,36,40,50,53,55,54
2345,2018-06-13 00:00:00,Wednesday,2,36,39,42,43,44,45
2346,2018-06-16 00:00:00,Saturday,2,12,18,45,49,59,20
2347,2018-06-20 00:00:00,Wednesday,1,10,12,22,23,59,37
2348,2018-06-23 00:00:00,Saturday,5,10,26,41,43,48,2
2349,2018-06-27 00:00:00,Wednesday,6,14,25,27,34,48,30
2350,2018-06-30 00:00:00,Saturday,11,20,21,22,24,47,50
2351,2018-07-04 00:00:00,Wednesday,4,6,10,11,37,39,49
2352,2018-07-07 00:00:00,Saturday,4,6,18,29,40,44,43
2353,2018-07-11 00:00:00,Wednesday,18,27,28,29,32,39,14
2354,2018-07-14 00:00:00,Saturday,8,23,28,33,49,57,19
2355,2018-07-18 00:00:00,Wednesday,32,34,38,43,44,59,20
2356,2018-07-21 00:00:00,Saturday,1,3,4,15,26,39,14
2357,2018-07-25 00:00:00,Wednesday,9,14,17,20,49,50,19
2358,2018-07-28 00:00:00,Saturday,1,8,21,28,32,48,12
2359,2018-08-01 00:00:00,Wednesday,9,15,25,33,35,46,36
2360,2018-08-04 00:00:00,Saturday,5,23,26,43,52,54,48
2361,2018-08-08 00:00:00,Wednesday,2,3,5,21,28,30,37
2362,2018-08-11 00:00:00,Saturday,26,27,28,37,41,46,19
2363,2018-08-15 00:00:00,Wednesday,2,8,11,21,26,52,40
2364,2018-08-18 00:00:00,Saturday,6,24,28,30,45,54,7
2365,2018-08-22 00:00:00,Wednesday,6,16,26,28,34,38,56
2366,2018-08-25 00:00:00,Saturday,15,20,22,48,56,59,50
2367,2018-08-29 00:00:00,Wednesday,5,8,11,33,34,41,57
2368,2018-09-01 00:00:00,Saturday,13,23,47,50,56,58,53
2369,2018-09-05 00:00:00,Wednesday,7,10,16,42,53,57,17
2370,2018-09-08 00:00:00,Saturday,10,12,13,39,49,55,42
2371,2018-09-12 00:00:00,Wednesday,5,12,30,32,41,50,49
2372,2018-09-15 00:00:00,Saturday,29,37,38,44,49,59,42
2373,2018-09-19 00:00:00,Wednesday,21,40,41,56,57,59,10
2374,2018-09-22 00:00:00,Saturday,5,20,29,31,41,59,51
2375,2018-09-26 00:00:00,Wednesday,4,5,18,23,33,38,20
2376,2018-09-29 00:00:00,Saturday,3,4,24,29,30,54,19
2377,2018-10-03 00:00:00,Wednesday,5,6,40,42,55,56,39
2378,2018-10-06 00:00:00,Saturday,25,30,33,36,38,51,48
2379,2018-10-10 00:00:00,Wednesday,3,29,37,42,52,58,13
2380,2018-10-13 00:00:00,Saturday,4,10,21,31,33,39,29
2381,2018-10-17 00:00:00,Wednesday,6,7,22,46,52,54,33
2382,2018-10-20 00:00:00,Saturday,3,12,16,29,42,46,54
2383,2018-10-24 00:00:00,Wednesday,11,24,34,40,55,59,19
2384,2018-10-27 00:00:00,Saturday,22,25,27,39,44,50,4
2385,2018-10-31 00:00:00,Wednesday,5,22,41,42,51,56,7
2386,2018-11-03 00:00:00,Saturday,17,19,25,36,44,47,43
2387,2018-11-07 00:00:00,Wednesday,6,10,22,39,56,59,38
2388,2018-11-10 00:00:00,Saturday,10,20,23,42,43,45,59
2389,2018-11-14 00:00:00,Wednesday,6,9,20,26,39,46,36
2390,2018-11-17 00:00:00,Saturday,9,22,25,42,51,53,43
2391,2018-11-21 00:00:00,Wednesday,6,34,44,45,48,54,42
2392,2018-11-24 00:00:00,Saturday,2,24,28,33,43,56,20
2393,2018-11-28 00:00:00,Wednesday,12,13,14,22,32,50,15
2394,2018-12-01 00:00:00,Saturday,5,9,10,19,51,55,7
2395,2018-12-05 00:00:00,Wednesday,33,34,35,48,50,54,3
2396,2018-12-08 00:00:00,Saturday,9,22,40,43,50,57,39
2397,2018-12-12 00:00:00,Wednesday,10,11,12,25,45,54,50
2398,2018-12-15 00:00:00,Saturday,3,11,29,40,47,52,27
2399,2018-12-19 00:00:00,Wednesday,16,24,29,40,44,47,19
2400,2018-12-22 00:00:00,Saturday,15,29,35,48,49,51,16
2401,2018-12-26 00:00:00,Wednesday,13,20,31,51,52,54,24
2402,2018-12-29 00:00:00,Saturday,19,29,30,37,44,50,55
2403,2019-01-02 00:00:00,Wednesday,11,25,27,33,34,53,13
2404,2019-01-05 00:00:00,Saturday,4,9,17,39,52,56,42
2405,2019-01-09 00:00:00,Wednesday,7,24,31,36,46,56,34
2406,2019-01-12 00:00:00,Saturday,6,8,11,19,49,55,18
2407,2019-01-16 00:00:00,Wednesday,10,28,29,33,54,58,6
2408,2019-01-19 00:00:00,Saturday,2,15,23,29,53,59,27
2409,2019-01-23 00:00:00,Wednesday,4,16,24,25,26,33,6
2410,2019-01-26 00:00:00,Saturday,2,7,15,21,24,54,46
2411,2019-01-30 00:00:00,Wednesday,3,9,10,22,42,51,19
2412,2019-02-02 00:00:00,Saturday,9,31,45,54,58,59,49
2413,2019-02-06 00:00:00,Wednesday,1,6,29,31,40,46,2
2414,2019-02-09 00:00:00,Saturday,10,14,17,36,47,54,39
2415,2019-02-13 00:00:00,Wednesday,8,16,19,28,34,50,20
2416,2019-02-16 00:00:00,Saturday,4,8,16,27,41,51,40
2417,2019-02-20 00:00:00,Wednesday,5,8,30,32,39,54,35
2418,2019-02-23 00:00:00,Saturday,2,16,33,37,41,46,10
2419,2019-02-27 00:00:00,Wednesday,1,16,19,23,28,40,37
2420,2019-03-02 00:00:00,Saturday,6,12,27,34,43,57,24
2421,2019-03-06 00:00:00,Wednesday,5,33,34,35,51,56,36
2422,2019-03-09 00:00:00,Saturday,2,3,25,31,41,56,58
2423,2019-03-13 00:00:00,Wednesday,2,17,23,24,48,51,5
2424,2019-03-16 00:00:00,Saturday,7,16,23,41,43,47,50
2425,2019-03-20 00:00:00,Wednesday,3,9,22,38,48,49,23
2426,2019-03-23 00:00:00,Saturday,12,22,35,42,53,54,50
2427,2019-03-27 00:00:00,Wednesday,12,30,31,41,44,45,52
2428,2019-03-30 00:00:00,Saturday,3,5,9,30,46,50,19
2429,2019-04-03 00:00:00,Wednesday,3,13,21,51,58,59,20
2430,2019-04-06 00:00:00,Saturday,17,26,31,33,35,53,3
2431,2019-04-10 00:00:00,Wednesday,13,19,23,42,49,50,4
2432,2019-04-13 00:00:00,Saturday,8,18,22,42,52,56,24
2433,2019-04-17 00:00:00,Wednesday,25,26,28,29,48,57,22
2434,2019-04-20 00:00:00,Saturday,12,24,32,45,52,58,34
2435,2019-04-24 00:00:00,Wednesday,6,18,28,47,52,57,55
2436,2019-04-27 00:00:00,Saturday,12,19,21,35,39,53,7
2437,2019-05-01 00:00:00,Wednesday,6,19,20,21,29,43,39
2438,2019-05-04 00:00:00,Saturday,11,23,28,29,45,46,55
2439,2019-05-08 00:00:00,Wednesday,3,23,28,40,47,56,18
2440,2019-05-11 00:00:00,Saturday,4,5,41,43,51,59,26
2441,2019-05-15 00:00:00,Wednesday,11,24,33,44,48,52,2
2442,2019-05-18 00:00:00,Saturday,10,29,39,44,51,55,3
2443,2019-05-22 00:00:00,Wednesday,5,9,16,24,42,50,54
2444,2019-05-25 00:00:00,Saturday,3,10,25,37,39,44,29
2445,2019-05-29 00:00:00,Wednesday,5,24,29,37,49,59,9
2446,2019-06-01 00:00:00,Saturday,18,21,24,26,34,42,16
2447,2019-06-05 00:00:00,Wednesday,2,8,12,32,34,48,25
2448,2019-06-08 00:00:00,Saturday,8,17,36,50,56,59,46
2449,2019-06-12 00:00:00,Wednesday,14,19,29,32,40,45,13
2450,2019-06-15 00:00:00,Saturday,5,8,9,12,29,55,46
2451,2019-06-19 00:00:00,Wednesday,6,21,29,44,52,55,43
2452,2019-06-22 00:00:00,Saturday,5,19,23,35,36,46,20
2453,2019-06-26 00:00:00,Wednesday,11,41,45,46,55,57,12
2454,2019-06-29 00:00:00,Saturday,8,13,15,24,33,51,59
2455,2019-07-03 00:00:00,Wednesday,2,9,16,24,32,51,36
2456,2019-07-06 00:00:00,Saturday,9,24,30,36,37,52,40
